"nome","codmun","populacao","discentes","servidores","nome.ascii","Freq"
"São Paulo",503,11914851,3590,549,"Sao_Paulo",4139
"Santo André",478,694681,2842,487,"Santo_Andre",3329
"São Bernardo do Campo",487,815109,1962,179,"Sao_Bernardo_do_Campo",2141
"Mauá",294,463338,422,43,"Maua",465
"São Caetano do Sul",488,151111,387,74,"Sao_Caetano_do_Sul",461
"Diadema",138,405596,296,16,"Diadema",312
"Ribeirão Pires",433,119339,190,14,"Ribeirao_Pires",204
"Guarulhos",188,1361862,161,7,"Guarulhos",168
"Osasco",344,682876,64,8,"Osasco",72
"Santos",485,429513,34,15,"Santos",49
"Rio Grande da Serra",441,50313,33,0,"Rio_Grande_da_Serra",33
